Time,ACCx_taR,ACCy_taR,ACCz_taR,GYRx_taR,GYRy_taR,GYRz_taR,ACCx_taL,ACCy_taL,ACCz_taL,GYRx_taL,GYRy_taL,GYRz_taL
0.027,9.115825,-3.3861499999999998,3.070842187499999,-0.0825578125,0.0001734374999999,0.00336875,8.172825563909775,-3.3690714285714285,-3.684176691729324,-0.0328375939849624,-0.0282751879699248,0.0257812030075187
0.028,9.1156,-3.386,3.0705437499999992,-0.08255625,0.0001687499999999,0.003375,8.17278947368421,-3.369,-3.684068421052632,-0.0328315789473684,-0.0282631578947368,0.0257842105263157
0.029,9.115374999999998,-3.38585,3.070245312499999,-0.0825546875,0.0001640624999999,0.00338125,8.172753383458646,-3.3689285714285715,-3.68396015037594,-0.0328255639097744,-0.0282511278195489,0.0257872180451127
0.03,9.11515,-3.3856999999999995,3.069946874999999,-0.082553125,0.0001593749999999,0.0033875,8.172717293233083,-3.368857142857143,-3.683851879699248,-0.0328195488721804,-0.0282390977443609,0.0257902255639097
0.031,9.114925,-3.3855499999999994,3.069648437499999,-0.0825515625,0.0001546874999999,0.00339375,8.172681203007519,-3.3687857142857145,-3.6837436090225566,-0.0328135338345864,-0.0282270676691729,0.0257932330827067
0.032,9.1147,-3.3853999999999997,3.069349999999999,-0.08255,0.0001499999999999,0.0034,8.172645112781955,-3.3687142857142858,-3.683635338345865,-0.0328075187969924,-0.0282150375939849,0.0257962406015037
0.033,9.114475,-3.385249999999999,3.069051562499999,-0.0825484375,0.0001453124999999,0.00340625,8.172609022556392,-3.368642857142857,-3.683527067669173,-0.0328015037593985,-0.028203007518797,0.0257992481203007
0.034,9.114249999999998,-3.3851,3.068753124999999,-0.082546875,0.0001406249999999,0.0034125,8.172572932330826,-3.3685714285714288,-3.6834187969924814,-0.0327954887218045,-0.028190977443609,0.0258022556390977
0.035,9.114025,-3.3849499999999995,3.0684546874999987,-0.0825453125,0.0001359374999999,0.00341875,8.172536842105263,-3.3685,-3.6833105263157897,-0.0327894736842105,-0.028178947368421,0.0258052631578947
0.036,9.1138,-3.3848,3.068156249999999,-0.08254375,0.0001312499999999,0.003425,8.1725007518797,-3.368428571428572,-3.683202255639098,-0.0327834586466165,-0.0281669172932331,0.0258082706766917
0.037,9.113575,-3.3846499999999997,3.067857812499999,-0.0825421875,0.0001265624999999,0.00343125,8.172464661654136,-3.368357142857143,-3.6830939849624063,-0.0327774436090225,-0.0281548872180451,0.0258112781954887
0.038,9.11335,-3.384499999999999,3.0675593749999988,-0.0825406249999999,0.0001218749999999,0.0034375,8.172428571428572,-3.3682857142857143,-3.6829857142857145,-0.0327714285714285,-0.0281428571428571,0.0258142857142857
0.039,9.113124999999998,-3.384349999999999,3.0672609374999986,-0.0825390625,0.0001171874999999,0.00344375,8.172392481203008,-3.368214285714286,-3.682877443609023,-0.0327654135338346,-0.0281308270676692,0.0258172932330827
0.04,9.1129,-3.3841999999999994,3.066962499999999,-0.0825375,0.0001124999999999,0.00345,8.172356390977443,-3.3681428571428573,-3.682769172932331,-0.0327593984962406,-0.0281187969924812,0.0258203007518796
0.041,9.112675,-3.38405,3.066664062499999,-0.0825359375,0.0001078124999999,0.00345625,8.17232030075188,-3.3680714285714286,-3.68266090225564,-0.0327533834586466,-0.0281067669172932,0.0258233082706766
0.042,9.11245,-3.3838999999999992,3.0663656249999987,-0.082534375,0.0001031249999999,0.0034625,8.172284210526316,-3.3680000000000003,-3.682552631578948,-0.0327473684210526,-0.0280947368421053,0.0258263157894736
0.043,9.112225,-3.383749999999999,3.0660671874999985,-0.0825328125,9.843749999997776e-05,0.00346875,8.172248120300752,-3.367928571428572,-3.682444360902256,-0.0327413533834586,-0.0280827067669173,0.0258293233082706
0.044,9.111999999999998,-3.383599999999999,3.0657687499999984,-0.08253125,9.374999999997727e-05,0.003475,8.172212030075189,-3.367857142857143,-3.682336090225564,-0.0327353383458646,-0.0280706766917293,0.0258323308270676
0.045,9.111775,-3.383449999999999,3.0654703124999987,-0.0825296874999999,8.906249999997677e-05,0.00348125,8.172175939849625,-3.3677857142857146,-3.682227819548873,-0.0327293233082707,-0.0280586466165413,0.0258353383458646
0.046,9.11155,-3.3832999999999998,3.0651718749999985,-0.082528125,8.437499999997623e-05,0.0034875,8.17213984962406,-3.367714285714286,-3.6821195488721807,-0.0327233082706767,-0.0280466165413534,0.0258383458646616
0.047,9.111325,-3.383149999999999,3.0648734374999984,-0.0825265625,7.968749999997572e-05,0.00349375,8.172103759398496,-3.367642857142857,-3.682011278195489,-0.0327172932330827,-0.0280345864661654,0.0258413533834586
0.048,9.1111,-3.382999999999999,3.0645749999999983,-0.082525,7.49999999999752e-05,0.0035,8.172067669172932,-3.367571428571429,-3.681903007518797,-0.0327112781954887,-0.0280225563909774,0.0258443609022556
0.049,9.110874999999998,-3.382849999999999,3.0642765624999986,-0.0825234374999999,7.031249999997469e-05,0.00350625,8.172031578947369,-3.3675,-3.6817947368421056,-0.0327052631578947,-0.0280105263157895,0.0258473684210526
