Time,ACCx_taR,ACCy_taR,ACCz_taR,GYRx_taR,GYRy_taR,GYRz_taR,ACCx_taL,ACCy_taL,ACCz_taL,GYRx_taL,GYRy_taL,GYRz_taL
0.05,9.072836363636364,-4.619490909090908,-1.0965,-0.0821242424242424,-0.0004757575757575,0.0023242424242424,8.470702085750414,-1.3455,-4.23289897885136,-0.0251998696405991,-0.026400108632834,0.023300108632834
0.051,9.072909090909093,-4.619272727272726,-1.0965,-0.0821227272727272,-0.0004772727272727,0.0023227272727272,8.470702127465422,-1.3455,-4.232898958428387,-0.0251998670334111,-0.0264001108054907,0.0233001108054907
0.052,9.072981818181818,-4.619054545454544,-1.0965,-0.0821212121212121,-0.0004787878787878,0.0023212121212121,8.47070216918043,-1.3455,-4.232898938005414,-0.025199864426223,-0.0264001129781474,0.0233001129781474
0.053,9.073054545454546,-4.618836363636363,-1.0965,-0.0821196969696969,-0.000480303030303,0.0023196969696969,8.470702210895439,-1.3455,-4.232898917582442,-0.025199861819035,-0.0264001151508041,0.0233001151508041
0.054,9.073127272727271,-4.618618181818181,-1.0965,-0.0821181818181818,-0.0004818181818181,0.0023181818181818,8.470702252610447,-1.3455,-4.232898897159468,-0.025199859211847,-0.0264001173234607,0.0233001173234607
0.055,9.0732,-4.618399999999999,-1.0965,-0.0821166666666666,-0.0004833333333333,0.0023166666666666,8.470702294325456,-1.3455,-4.232898876736496,-0.025199856604659,-0.0264001194961174,0.0233001194961174
0.056,9.073272727272728,-4.618181818181817,-1.0965,-0.0821151515151515,-0.0004848484848484,0.0023151515151515,8.470702336040464,-1.3455,-4.232898856313523,-0.025199853997471,-0.0264001216687741,0.0233001216687741
0.057,9.073345454545455,-4.617963636363635,-1.0965,-0.0821136363636363,-0.0004863636363636,0.0023136363636363,8.470702377755472,-1.3455,-4.23289883589055,-0.025199851390283,-0.0264001238414308,0.0233001238414308
0.058,9.073418181818182,-4.617745454545453,-1.0965,-0.0821121212121212,-0.0004878787878787,0.0023121212121212,8.47070241947048,-1.3455,-4.2328988154675775,-0.0251998487830949,-0.0264001260140875,0.0233001260140875
0.059,9.073490909090909,-4.617527272727272,-1.0965,-0.082110606060606,-0.0004893939393939,0.002310606060606,8.470702461185489,-1.3455,-4.232898795044605,-0.0251998461759069,-0.0264001281867441,0.0233001281867441
0.06,9.073563636363636,-4.61730909090909,-1.0965,-0.0821090909090909,-0.000490909090909,0.0023090909090909,8.470702502900497,-1.3455,-4.232898774621631,-0.0251998435687189,-0.0264001303594008,0.0233001303594008
0.061,9.073636363636364,-4.617090909090908,-1.0965,-0.0821075757575757,-0.0004924242424242,0.0023075757575757,8.470702544615506,-1.3455,-4.232898754198659,-0.0251998409615309,-0.0264001325320575,0.0233001325320575
0.062,9.073709090909093,-4.616872727272726,-1.0965,-0.0821060606060606,-0.0004939393939394,0.0023060606060605,8.470702586330514,-1.3455,-4.232898733775686,-0.0251998383543429,-0.0264001347047142,0.0233001347047142
