Time,ACCx_taR,ACCy_taR,ACCz_taR,GYRx_taR,GYRy_taR,GYRz_taR,ACCx_taL,ACCy_taL,ACCz_taL,GYRx_taL,GYRy_taL,GYRz_taL
0.043,8.5475578125,-4.634867187499999,3.0421,-0.070796875,-0.0001156249999999,-0.0913093749999999,8.145516751269035,-3.51070152284264,-3.614174111675127,-0.0397639593908629,-0.0216710659898477,0.0042852791878172
0.044,8.54823125,-4.633968749999999,3.0418000000000003,-0.0706875,-0.0001624999999999,-0.0920374999999999,8.14563807106599,-3.5103852791878176,-3.614150253807107,-0.0397817258883248,-0.021679695431472,0.0042756345177665
0.045,8.5489046875,-4.6330703125,3.0415,-0.070578125,-0.0002093749999999,-0.0927656249999999,8.145759390862944,-3.5100690355329958,-3.614126395939087,-0.0397994923857867,-0.0216883248730964,0.0042659898477157
0.046,8.549578125,-4.632171875,3.0412,-0.07046875,-0.0002562499999999,-0.0934937499999999,8.145880710659899,-3.509752791878173,-3.6141025380710654,-0.0398172588832487,-0.0216969543147208,0.0042563451776649
0.047,8.5502515625,-4.6312734375,3.0409,-0.070359375,-0.0003031249999999,-0.0942218749999999,8.146002030456852,-3.5094365482233507,-3.614078680203046,-0.0398350253807106,-0.0217055837563451,0.0042467005076142
0.048,8.550925,-4.630375,3.0406,-0.07025,-0.0003499999999999,-0.0949499999999999,8.146123350253808,-3.5091203045685284,-3.6140548223350257,-0.0398527918781725,-0.0217142131979695,0.0042370558375634
0.049,8.5515984375,-4.6294765625,3.0403,-0.070140625,-0.0003968749999999,-0.0956781249999999,8.146244670050761,-3.508804060913706,-3.614030964467005,-0.0398705583756345,-0.0217228426395939,0.0042274111675126
0.05,8.552271875,-4.628578125,3.04,-0.07003125,-0.0004437499999999,-0.0964062499999999,8.146365989847716,-3.508487817258884,-3.6140071065989847,-0.0398883248730964,-0.0217314720812182,0.0042177664974619
0.051,8.5529453125,-4.6276796875,3.0397000000000003,-0.069921875,-0.0004906249999999,-0.0971343749999999,8.14648730964467,-3.508171573604061,-3.613983248730965,-0.0399060913705583,-0.0217401015228426,0.0042081218274111
0.052,8.55361875,-4.62678125,3.0394,-0.0698125,-0.0005374999999999,-0.0978624999999999,8.146608629441625,-3.507855329949239,-3.613959390862944,-0.0399238578680202,-0.021748730964467,0.0041984771573604
0.053,8.5542921875,-4.6258828125,3.0391,-0.069703125,-0.0005843749999999,-0.0985906249999999,8.146729949238578,-3.5075390862944165,-3.613935532994924,-0.0399416243654822,-0.0217573604060913,0.0041888324873096
0.054,8.554965625,-4.624984375,3.0388,-0.06959375,-0.0006312499999999,-0.0993187499999999,8.146851269035533,-3.507222842639594,-3.613911675126904,-0.0399593908629441,-0.0217659898477157,0.0041791878172588
0.055,8.5556390625,-4.624085937499999,3.0385,-0.069484375,-0.0006781249999999,-0.1000468749999999,8.146972588832487,-3.506906598984772,-3.6138878172588833,-0.039977157360406,-0.02177461928934,0.0041695431472081
0.056,8.5563125,-4.623187499999999,3.0382,-0.069375,-0.0007249999999999,-0.1007749999999999,8.147093908629442,-3.5065903553299496,-3.613863959390863,-0.039994923857868,-0.0217832487309644,0.0041598984771573
0.057,8.5569859375,-4.6222890625,3.0379,-0.069265625,-0.0007718749999999,-0.1015031249999999,8.147215228426395,-3.5062741116751277,-3.6138401015228423,-0.0400126903553299,-0.0217918781725888,0.0041502538071066
0.058,8.557659375,-4.621390625,3.0376000000000003,-0.06915625,-0.0008187499999999,-0.1022312499999999,8.14733654822335,-3.505957868020305,-3.6138162436548233,-0.0400304568527918,-0.0218005076142131,0.0041406091370558
0.059,8.5583328125,-4.6204921875,3.0373,-0.069046875,-0.0008656249999999,-0.1029593749999999,8.147457868020304,-3.5056416243654827,-3.613792385786802,-0.0400482233502537,-0.0218091370558375,0.004130964467005
0.06,8.55900625,-4.61959375,3.037,-0.0689375,-0.0009124999999999,-0.1036874999999999,8.147579187817259,-3.5053253807106604,-3.613768527918782,-0.0400659898477157,-0.0218177664974619,0.0041213197969543
0.061,8.5596796875,-4.6186953125,3.0367,-0.068828125,-0.0009593749999999,-0.1044156249999999,8.147700507614212,-3.505009137055838,-3.6137446700507616,-0.0400837563451776,-0.0218263959390862,0.0041116751269035
