Time,Sensor ID,Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (rad/s),Gyro Y (rad/s),Gyro Z (rad/s)
0.0,1.0,9.0692,-4.6304,-1.0965,-0.0822,-0.0004,0.0024
0.001,1.0,9.069272727272727,-4.630181818181818,-1.0965,-0.08219848484848484,-0.00040151515151515163,0.002398484848484848
0.002,1.0,9.069345454545456,-4.6299636363636365,-1.0965,-0.0821969696969697,-0.00040303030303030324,0.0023969696969696965
0.003,1.0,9.069418181818182,-4.629745454545454,-1.0965,-0.08219545454545454,-0.0004045454545454549,0.002395454545454545
0.004,1.0,9.06949090909091,-4.629527272727272,-1.0965,-0.08219393939393939,-0.0004060606060606065,0.002393939393939393
0.005,1.0,9.069563636363636,-4.629309090909091,-1.0965,-0.08219242424242423,-0.0004075757575757581,0.002392424242424242
0.006,1.0,9.069636363636365,-4.629090909090909,-1.0965,-0.08219090909090909,-0.00040909090909090973,0.0023909090909090902
0.007,1.0,9.069709090909091,-4.628872727272727,-1.0965,-0.08218939393939394,-0.00041060606060606134,0.0023893939393939386
0.008,1.0,9.069781818181818,-4.628654545454546,-1.0965,-0.08218787878787878,-0.000412121212121213,0.002387878787878787
0.009000000000000001,1.0,9.069854545454545,-4.6284363636363635,-1.0965,-0.08218636363636363,-0.0004136363636363646,0.0023863636363636353
0.01,1.0,9.069927272727274,-4.628218181818181,-1.0965,-0.08218484848484849,-0.0004151515151515162,0.0023848484848484836
0.011,1.0,9.07,-4.627999999999999,-1.0965,-0.08218333333333333,-0.00041666666666666783,0.002383333333333332
0.012,1.0,9.070072727272727,-4.627781818181818,-1.0965,-0.08218181818181818,-0.0004181818181818195,0.0023818181818181803
0.013000000000000001,1.0,9.070145454545456,-4.627563636363636,-1.0965,-0.08218030303030302,-0.0004196969696969711,0.0023803030303030286
0.014,1.0,9.070218181818182,-4.627345454545454,-1.0965,-0.08217878787878788,-0.0004212121212121227,0.002378787878787877
0.015,1.0,9.07029090909091,-4.6271272727272725,-1.0965,-0.08217727272727272,-0.0004227272727272743,0.0023772727272727257
0.016,1.0,9.070363636363636,-4.62690909090909,-1.0965,-0.08217575757575757,-0.00042424242424242593,0.002375757575757574
0.017,1.0,9.070436363636365,-4.626690909090908,-1.0965,-0.08217424242424243,-0.0004257575757575776,0.0023742424242424224
0.018000000000000002,1.0,9.070509090909091,-4.626472727272727,-1.0965,-0.08217272727272727,-0.0004272727272727292,0.0023727272727272707
0.019,1.0,9.070581818181818,-4.626254545454545,-1.0965,-0.08217121212121212,-0.0004287878787878808,0.002371212121212119
0.02,1.0,9.070654545454547,-4.626036363636363,-1.0965,-0.08216969696969696,-0.0004303030303030324,0.0023696969696969674
0.021,1.0,9.070727272727273,-4.625818181818182,-1.0965,-0.08216818181818182,-0.00043181818181818404,0.0023681818181818157
0.022,1.0,9.0708,-4.6255999999999995,-1.0965,-0.08216666666666667,-0.0004333333333333357,0.002366666666666664
0.023,1.0,9.070872727272727,-4.625381818181817,-1.0965,-0.08216515151515151,-0.0004348484848484873,0.0023651515151515124
0.024,1.0,9.070945454545456,-4.625163636363636,-1.0965,-0.08216363636363636,-0.0004363636363636389,0.002363636363636361
0.025,1.0,9.071018181818182,-4.624945454545454,-1.0965,-0.08216212121212121,-0.00043787878787879053,0.0023621212121212095
0.026000000000000002,1.0,9.071090909090909,-4.624727272727272,-1.0965,-0.08216060606060606,-0.00043939393939394214,0.002360606060606058
0.027,1.0,9.071163636363636,-4.624509090909091,-1.0965,-0.0821590909090909,-0.0004409090909090938,0.002359090909090906
0.028,1.0,9.071236363636364,-4.624290909090909,-1.0965,-0.08215757575757575,-0.0004424242424242454,0.0023575757575757545
0.029,1.0,9.071309090909091,-4.6240727272727264,-1.0965,-0.08215606060606061,-0.000443939393939397,0.002356060606060603
0.03,1.0,9.071381818181818,-4.623854545454544,-1.0965,-0.08215454545454545,-0.00044545454545454863,0.002354545454545451
0.031,1.0,9.071454545454547,-4.623636363636363,-1.0965,-0.0821530303030303,-0.00044696969696970024,0.0023530303030302995
0.032,1.0,9.071527272727273,-4.623418181818181,-1.0965,-0.08215151515151514,-0.0004484848484848519,0.002351515151515148
0.033,1.0,9.0716,-4.623199999999999,-1.0965,-0.08215,-0.0004500000000000035,0.002349999999999996
0.034,1.0,9.071672727272727,-4.622981818181818,-1.0965,-0.08214848484848485,-0.0004515151515151551,0.002348484848484845
0.035,1.0,9.071745454545455,-4.6227636363636355,-1.0965,-0.08214696969696969,-0.00045303030303030673,0.0023469696969696933
0.036000000000000004,1.0,9.071818181818182,-4.622545454545453,-1.0965,-0.08214545454545455,-0.0004545454545454584,0.0023454545454545416
0.037,1.0,9.071890909090909,-4.622327272727272,-1.0965,-0.0821439393939394,-0.00045606060606061,0.00234393939393939
0.038,1.0,9.071963636363636,-4.62210909090909,-1.0965,-0.08214242424242424,-0.0004575757575757616,0.0023424242424242383
0.039,1.0,9.072036363636364,-4.621890909090908,-1.0965,-0.08214090909090908,-0.0004590909090909132,0.0023409090909090866
0.04,1.0,9.072109090909091,-4.621672727272727,-1.0965,-0.08213939393939394,-0.00046060606060606483,0.002339393939393935
0.041,1.0,9.072181818181818,-4.621454545454545,-1.0965,-0.08213787878787879,-0.00046212121212121644,0.0023378787878787833
0.042,1.0,9.072254545454546,-4.6212363636363625,-1.0965,-0.08213636363636363,-0.0004636363636363681,0.0023363636363636316
0.043000000000000003,1.0,9.072327272727273,-4.621018181818181,-1.0965,-0.08213484848484848,-0.0004651515151515197,0.0023348484848484804
0.044,1.0,9.0724,-4.620799999999999,-1.0965,-0.08213333333333334,-0.0004666666666666713,0.0023333333333333288
0.045,1.0,9.072472727272727,-4.620581818181817,-1.0965,-0.08213181818181818,-0.00046818181818182293,0.002331818181818177
0.046,1.0,9.072545454545455,-4.620363636363636,-1.0965,-0.08213030303030303,-0.00046969696969697454,0.0023303030303030254
0.047,1.0,9.072618181818182,-4.620145454545454,-1.0965,-0.08212878787878787,-0.0004712121212121262,0.0023287878787878738
