Timestamp (s),Sensor ID,Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (rad/s),Gyro Y (rad/s),Gyro Z (rad/s)
42.125,1,9.0692,-4.6208,-1.1061, -0.0819,-0.0004,0.0025
42.191,1,9.0740,-4.6304,-1.1013, -0.0819,-0.0001,0.0027
42.256,1,9.0692,-4.6304,-1.0965, -0.0817,-0.0003,0.0031
42.321,1,9.0692,-4.6160,-1.1205, -0.0822,-0.0004,0.0021
42.387,1,9.0692,-4.6256,-1.1061, -0.0821,-0.0008,0.0028
42.452,1,9.0692,-4.6304,-1.1061, -0.0818,-0.0011,0.0025
42.518,1,9.0597,-4.6256,-1.1013, -0.0819,-0.0005,0.0031
42.583,1,9.0692,-4.6256,-1.1013, -0.0819,-0.0011,0.0029
42.648,1,9.0597,-4.6208,-1.1061, -0.0818,-0.0008,0.0028
42.714,1,9.0692,-4.6256,-1.0870, -0.0821,-0.0003,0.0031
42.779,1,9.0644,-4.6304,-1.1109, -0.0818,-0.0001,0.0024
42.844,1,9.0644,-4.6256,-1.0918, -0.0822,-0.0004,0.0017
42.910,1,9.0644,-4.6304,-1.0870, -0.0818,-0.0003,0.0023
42.975,1,9.0692,-4.6304,-1.0965, -0.0819,-0.0009,0.0025
43.040,1,9.0740,-4.6256,-1.1013, -0.0823,-0.0011,0.0028
43.106,1,9.0644,-4.6256,-1.1061, -0.0817,-0.0007,0.0032
43.171,1,9.0597,-4.6208,-1.1013, -0.0822,-0.0001,0.0031
43.237,1,9.0597,-4.6256,-1.1061, -0.0819,-0.0003,0.0028
43.302,1,9.0692,-4.6304,-1.0822, -0.0819,-0.0005,0.0024
43.367,1,9.0740,-4.6256,-1.0870, -0.0819,-0.0005,0.0023
43.433,1,9.0692,-4.6208,-1.0918, -0.0822,-0.0011,0.0032
43.498,1,9.0740,-4.6256,-1.0965, -0.0822,-0.0009,0.0029
43.563,1,9.0692,-4.6208,-1.1013, -0.0821,-0.0009,0.0027
43.629,1,9.0644,-4.6256,-1.1061, -0.0821,-0.0011,0.0033
43.694,1,9.0740,-4.6304,-1.1013, -0.0819,-0.0007,0.0029
43.759,1,9.0644,-4.6256,-1.0965, -0.0817,-0.0009,0.0027
43.825,1,9.0644,-4.6256,-1.0965, -0.0822,-0.0005,0.0024
43.890,1,9.0692,-4.6256,-1.0822, -0.0821,-0.0004,0.0027
43.956,1,9.0788,-4.6160,-1.0918, -0.0819,-0.0007,0.0025
44.021,1,9.0788,-4.6256,-1.1013, -0.0821,-0.0005,0.0031
44.086,1,9.0788,-4.6304,-1.1061, -0.0821,-0.0008,0.0023
44.152,1,9.0692,-4.6256,-1.1157, -0.0821,-0.0008,0.0031
44.217,1,9.0692,-4.6256,-1.1109, -0.0818,-0.0003,0.0031
44.282,1,9.0788,-4.6256,-1.1013, -0.0819,-0.0007,0.0029
44.348,1,9.0692,-4.6352,-1.0918, -0.0819,-0.0001,0.0027
44.413,1,9.0692,-4.6208,-1.1013, -0.0819,0.0001,0.0025
44.477,1,9.0740,-4.6256,-1.1109, -0.0821,-0.0004,0.0024
44.543,1,9.0740,-4.6256,-1.0965, -0.0821,-0.0008,0.0027
44.608,1,9.0740,-4.6304,-1.1157, -0.0819,-0.0008,0.0028
44.673,1,9.0644,-4.6304,-1.1061, -0.0819,-0.0008,0.0033
44.739,1,9.0644,-4.6256,-1.1013, -0.0821,-0.0007,0.0024
44.804,1,9.0644,-4.6256,-1.1061, -0.0818,-0.0005,0.0024
44.870,1,9.0740,-4.6208,-1.1061, -0.0819,-0.0005,0.0024
44.935,1,9.0692,-4.6208,-1.0918, -0.0818,-0.0003,0.0024
45.000,1,9.0740,-4.6208,-1.0870, -0.0823,-0.0007,0.0025
45.066,1,9.0740,-4.6304,-1.0822, -0.0821,-0.0008,0.0027
45.131,1,9.0644,-4.6256,-1.0965, -0.0822,-0.0009,0.0029
45.196,1,9.0692,-4.6208,-1.0965, -0.0819,-0.0008,0.0029
45.262,1,9.0549,-4.6208,-1.1013, -0.0818,-0.0008,0.0027
45.327,1,9.0740,-4.6256,-1.1013, -0.0821,-0.0005,0.0027
45.392,1,9.0740,-4.6304,-1.0870, -0.0822,0.0001,0.0024
45.457,1,9.0740,-4.6304,-1.0870, -0.0821,0.0000,0.0023
45.521,1,9.0740,-4.6256,-1.0918, -0.0818,0.0000,0.0027
45.585,1,9.0788,-4.6256,-1.0822, -0.0821,-0.0005,0.0029
45.651,1,9.0740,-4.6208,-1.0918, -0.0819,-0.0005,0.0031
45.716,1,9.0644,-4.6160,-1.1013, -0.0818,-0.0009,0.0029
45.781,1,9.0692,-4.6160,-1.0965, -0.0819,-0.0004,0.0032
45.847,1,9.0644,-4.6304,-1.1109, -0.0818,-0.0005,0.0029
45.912,1,9.0549,-4.6208,-1.1061, -0.0814,-0.0003,0.0025
45.977,1,9.0740,-4.6256,-1.0918, -0.0825,-0.0001,0.0023
46.043,1,9.0692,-4.6112,-1.0965, -0.0819,-0.0007,0.0025
46.108,1,9.0836,-4.6256,-1.1013, -0.0818,-0.0003,0.0027
46.174,1,9.0692,-4.6208,-1.1013, -0.0818,-0.0007,0.0036
46.239,1,9.0644,-4.6208,-1.1109, -0.0817,-0.0004,0.0036
46.304,1,9.0597,-4.6256,-1.0918, -0.0819,-0.0001,0.0036
46.370,1,9.0501,-4.6160,-1.0774, -0.0817,-0.0007,0.0028
46.435,1,9.0692,-4.6256,-1.1013, -0.0818,-0.0001,0.0028
46.500,1,9.0692,-4.6256,-1.0918, -0.0818,-0.0005,0.0028
