Timestamp (s),Sensor ID,Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (rad/s),Gyro Y (rad/s),Gyro Z (rad/s)
250.183,1,6.9480,-2.0111,-6.1483, -0.4738,-1.7660,0.5193
250.715,1,8.3222,-3.2801,-9.0166, -0.5773,3.0964,-0.4812
250.914,1,4.5490,-0.6512,-7.0485, 0.5945,-0.3360,-0.4411
251.047,1,10.4675,-2.6049,-5.7509, -0.1627,-1.5278,0.0252
251.181,1,8.7724,-2.7294,-4.1659, -0.2855,-0.4021,-0.0079
251.316,1,8.7676,-0.9242,-4.1132, -0.1708,-0.1633,-0.0835
251.450,1,8.5760,-1.0726,-4.2138, -0.0112,-0.0637,0.0827
251.582,1,8.5473,-1.1013,-4.2329, 0.0446,-0.0544,0.0782
251.713,1,8.5138,-1.2641,-4.2138, 0.0504,-0.0268,0.1327
251.844,1,8.4946,-1.3695,-4.1228, -0.0557,-0.1196,0.0360
251.977,1,8.3222,-1.3216,-4.4005, -0.0882,-0.4447,-0.0047
252.111,1,7.8051,-1.4174,-5.0566, -0.2466,-0.9709,0.1964
252.244,1,7.1443,-0.9146,-6.5793, -0.0727,-1.2566,0.2232
252.376,1,5.8035,-1.1492,-7.9823, 0.9470,-1.5083,-0.1785
252.509,1,5.0566,-2.2075,-8.0828, 2.6887,-1.6008,-2.7661
252.642,1,2.9688,-5.6647,-6.5984, 4.1119,-0.8399,-4.1411
252.775,1,5.9711,-3.9840,-4.4341, 4.0738,-1.4204,-2.9184
253.107,1,8.2408,-2.8012,-3.6440, -0.3020,0.1232,-0.4570
253.240,1,8.3606,-2.1931,-4.1515, -0.2385,0.0047,-0.2622
253.306,1,8.6335,-1.5897,-4.2521, -0.0572,-0.0490,0.0644
253.638,1,8.4563,-1.8004,-4.1420, -0.0155,-0.0634,-0.1533
253.772,1,8.4659,-1.6520,-4.1851, -0.0048,-0.0561,0.0306
253.905,1,8.0876,-2.0973,-4.0941, -0.0679,-0.5649,-0.1279
254.040,1,7.4603,-1.3647,-5.4540, -0.5773,-1.8646,-0.1651
254.176,1,9.3087,-0.8140,-10.0365, -1.5064,-3.4442,-1.8756
254.312,1,7.9775,-6.0382,-3.1508, 2.7220,1.3727,-1.0595
254.443,1,8.0589,-1.5562,-5.2768, 1.9697,2.5229,-0.5762
254.573,1,8.8298,-3.1077,-9.7588, -0.0039,2.2568,-1.6729
254.706,1,4.8267,-2.7246,-8.5904, 0.0346,1.1567,-0.6279
254.838,1,11.0852,-5.7652,-2.7150, 0.0967,-1.9784,0.9553
254.972,1,9.5864,-1.4605,-4.9081, -0.4247,-0.5718,-0.2090
255.239,1,8.4898,-1.4126,-4.2473, 0.0485,-0.0851,0.2368
255.435,1,8.3558,-1.8196,-4.1276, 0.0398,-0.0265,0.0362
256.104,1,9.6391,-0.5698,-2.1117, 1.9953,1.6367,0.2614
256.695,1,11.0947,-1.4940,-6.4643, -0.5852,-1.7724,-0.3704
258.091,1,8.8873,-3.5721,-10.9559, -0.5061,2.9693,-0.9348
