Time,Sensor ID,Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (rad/s),Gyro Y (rad/s),Gyro Z (rad/s)
0.0,1.0,9.1219,-2.466,3.5338,-0.0405,-0.0262,0.0312
0.001,1.0,9.122009923664121,-2.4659633587786263,3.5337274809160304,-0.04050229007633588,-0.02620610687022901,0.03118854961832061
0.002,1.0,9.122119847328245,-2.465926717557252,3.533654961832061,-0.040504580152671756,-0.026212213740458016,0.03117709923664122
0.003,1.0,9.122229770992366,-2.465890076335878,3.5335824427480915,-0.04050687022900763,-0.026218320610687025,0.03116564885496183
0.004,1.0,9.122339694656489,-2.465853435114504,3.533509923664122,-0.04050916030534351,-0.02622442748091603,0.031154198473282442
0.005,1.0,9.12244961832061,-2.46581679389313,3.5334374045801527,-0.040511450381679394,-0.02623053435114504,0.031142748091603053
0.006,1.0,9.122559541984733,-2.4657801526717558,3.533364885496183,-0.04051374045801527,-0.026236641221374046,0.031131297709923664
0.007,1.0,9.122669465648855,-2.465743511450382,3.533292366412214,-0.04051603053435115,-0.026242748091603055,0.031119847328244275
0.008,1.0,9.122779389312978,-2.465706870229008,3.5332198473282443,-0.040518320610687025,-0.02624885496183206,0.031108396946564885
0.009000000000000001,1.0,9.1228893129771,-2.4656702290076336,3.5331473282442745,-0.0405206106870229,-0.02625496183206107,0.031096946564885496
0.01,1.0,9.122999236641222,-2.4656335877862596,3.533074809160305,-0.04052290076335878,-0.02626106870229008,0.031085496183206107
0.011,1.0,9.123109160305344,-2.4655969465648857,3.5330022900763356,-0.04052519083969466,-0.026267175572519084,0.031074045801526718
0.012,1.0,9.123219083969465,-2.465560305343512,3.532929770992366,-0.040527480916030534,-0.026273282442748094,0.03106259541984733
0.013000000000000001,1.0,9.123329007633588,-2.4655236641221374,3.5328572519083967,-0.04052977099236641,-0.0262793893129771,0.031051145038167936
0.014,1.0,9.12343893129771,-2.4654870229007635,3.5327847328244273,-0.04053206106870229,-0.02628549618320611,0.031039694656488547
0.015,1.0,9.123548854961832,-2.4654503816793896,3.532712213740458,-0.04053435114503817,-0.026291603053435114,0.031028244274809158
0.016,1.0,9.123658778625954,-2.465413740458015,3.5326396946564884,-0.04053664122137405,-0.026297709923664123,0.03101679389312977
0.017,1.0,9.123768702290077,-2.4653770992366413,3.532567175572519,-0.040538931297709926,-0.02630381679389313,0.03100534351145038
0.018000000000000002,1.0,9.123878625954198,-2.4653404580152674,3.5324946564885495,-0.040541221374045804,-0.026309923664122138,0.03099389312977099
0.019,1.0,9.123988549618321,-2.4653038167938934,3.53242213740458,-0.04054351145038168,-0.026316030534351147,0.0309824427480916
0.02,1.0,9.124098473282443,-2.465267175572519,3.5323496183206107,-0.04054580152671756,-0.026322137404580153,0.030970992366412212
0.021,1.0,9.124208396946566,-2.465230534351145,3.5322770992366412,-0.040548091603053435,-0.026328244274809162,0.030959541984732823
0.022,1.0,9.124318320610687,-2.465193893129771,3.532204580152672,-0.04055038167938931,-0.026334351145038168,0.030948091603053434
0.023,1.0,9.12442824427481,-2.4651572519083973,3.5321320610687024,-0.04055267175572519,-0.026340458015267177,0.030936641221374045
0.024,1.0,9.124538167938931,-2.465120610687023,3.532059541984733,-0.04055496183206107,-0.026346564885496183,0.030925190839694656
0.025,1.0,9.124648091603053,-2.465083969465649,3.531987022900763,-0.04055725190839695,-0.026352671755725192,0.030913740458015267
0.026000000000000002,1.0,9.124758015267176,-2.465047328244275,3.5319145038167936,-0.04055954198473283,-0.026358778625954198,0.030902290076335878
0.027,1.0,9.124867938931297,-2.4650106870229007,3.531841984732824,-0.040561832061068705,-0.026364885496183207,0.03089083969465649
0.028,1.0,9.12497786259542,-2.464974045801527,3.5317694656488547,-0.04056412213740458,-0.026370992366412216,0.0308793893129771
0.029,1.0,9.125087786259542,-2.464937404580153,3.5316969465648853,-0.04056641221374046,-0.02637709923664122,0.03086793893129771
0.03,1.0,9.125197709923665,-2.464900763358779,3.531624427480916,-0.040568702290076336,-0.02638320610687023,0.03085648854961832
0.031,1.0,9.125307633587786,-2.4648641221374046,3.5315519083969464,-0.04057099236641221,-0.026389312977099236,0.030845038167938932
0.032,1.0,9.12541755725191,-2.4648274809160307,3.531479389312977,-0.04057328244274809,-0.026395419847328246,0.030833587786259543
0.033,1.0,9.12552748091603,-2.4647908396946567,3.5314068702290076,-0.040575572519083974,-0.02640152671755725,0.030822137404580154
0.034,1.0,9.125637404580154,-2.4647541984732824,3.531334351145038,-0.04057786259541985,-0.02640763358778626,0.030810687022900764
0.035,1.0,9.125747328244275,-2.4647175572519084,3.5312618320610687,-0.04058015267175573,-0.026413740458015266,0.030799236641221375
0.036000000000000004,1.0,9.125857251908396,-2.4646809160305345,3.5311893129770993,-0.040582442748091606,-0.026419847328244275,0.030787786259541986
0.037,1.0,9.12596717557252,-2.4646442748091606,3.53111679389313,-0.04058473282442748,-0.026425954198473284,0.030776335877862597
0.038,1.0,9.12607709923664,-2.4646076335877862,3.5310442748091604,-0.04058702290076336,-0.02643206106870229,0.030764885496183204
0.039,1.0,9.126187022900764,-2.4645709923664123,3.530971755725191,-0.04058931297709924,-0.0264381679389313,0.030753435114503815
0.04,1.0,9.126296946564885,-2.4645343511450384,3.5308992366412215,-0.040591603053435114,-0.026444274809160305,0.030741984732824426
0.041,1.0,9.126406870229008,-2.464497709923664,3.530826717557252,-0.04059389312977099,-0.026450381679389314,0.030730534351145037
0.042,1.0,9.12651679389313,-2.46446106870229,3.530754198473282,-0.04059618320610687,-0.02645648854961832,0.030719083969465648
0.043000000000000003,1.0,9.126626717557253,-2.464424427480916,3.5306816793893128,-0.04059847328244275,-0.02646259541984733,0.03070763358778626
0.044,1.0,9.126736641221374,-2.4643877862595422,3.5306091603053433,-0.04060076335877863,-0.026468702290076335,0.03069618320610687
0.045,1.0,9.126846564885497,-2.464351145038168,3.530536641221374,-0.04060305343511451,-0.026474809160305344,0.03068473282442748
0.046,1.0,9.126956488549618,-2.464314503816794,3.5304641221374045,-0.040605343511450384,-0.026480916030534353,0.03067328244274809
0.047,1.0,9.127066412213741,-2.46427786259542,3.530391603053435,-0.04060763358778626,-0.02648702290076336,0.030661832061068702
0.048,1.0,9.127176335877863,-2.4642412213740457,3.5303190839694656,-0.04060992366412214,-0.026493129770992368,0.030650381679389313
0.049,1.0,9.127286259541984,-2.4642045801526717,3.530246564885496,-0.040612213740458016,-0.026499236641221374,0.030638931297709924
0.05,1.0,9.127396183206107,-2.464167938931298,3.5301740458015267,-0.04061450381679389,-0.026505343511450383,0.030627480916030535
0.051000000000000004,1.0,9.127506106870229,-2.464131297709924,3.5301015267175573,-0.04061679389312977,-0.02651145038167939,0.030616030534351146
0.052000000000000005,1.0,9.127616030534352,-2.4640946564885495,3.530029007633588,-0.040619083969465654,-0.026517557251908398,0.030604580152671756
0.053,1.0,9.127725954198473,-2.4640580152671756,3.5299564885496184,-0.04062137404580153,-0.026523664122137403,0.030593129770992367
0.054,1.0,9.127835877862596,-2.4640213740458017,3.529883969465649,-0.04062366412213741,-0.026529770992366412,0.030581679389312978
0.055,1.0,9.127945801526717,-2.4639847328244273,3.5298114503816795,-0.040625954198473285,-0.026535877862595418,0.03057022900763359
0.056,1.0,9.12805572519084,-2.4639480916030534,3.52973893129771,-0.04062824427480916,-0.026541984732824427,0.0305587786259542
0.057,1.0,9.128165648854962,-2.4639114503816795,3.5296664122137407,-0.04063053435114504,-0.026548091603053436,0.03054732824427481
0.058,1.0,9.128275572519085,-2.4638748091603055,3.529593893129771,-0.04063282442748092,-0.026554198473282442,0.03053587786259542
0.059000000000000004,1.0,9.128385496183206,-2.463838167938931,3.5295213740458014,-0.040635114503816794,-0.02656030534351145,0.030524427480916033
0.06,1.0,9.128495419847328,-2.4638015267175573,3.529448854961832,-0.04063740458015267,-0.026566412213740457,0.030512977099236643
0.061,1.0,9.12860534351145,-2.4637648854961833,3.5293763358778625,-0.04063969465648855,-0.026572519083969466,0.030501526717557254
0.062,1.0,9.128715267175572,-2.463728244274809,3.529303816793893,-0.04064198473282443,-0.026578625954198472,0.030490076335877865
0.063,1.0,9.128825190839695,-2.463691603053435,3.5292312977099236,-0.04064427480916031,-0.02658473282442748,0.030478625954198472
0.064,1.0,9.128935114503816,-2.463654961832061,3.529158778625954,-0.040646564885496186,-0.026590839694656487,0.030467175572519083
0.065,1.0,9.12904503816794,-2.463618320610687,3.5290862595419847,-0.040648854961832064,-0.026596946564885496,0.030455725190839694
0.066,1.0,9.12915496183206,-2.463581679389313,3.5290137404580153,-0.04065114503816794,-0.026603053435114505,0.030444274809160305
0.067,1.0,9.129264885496184,-2.463545038167939,3.528941221374046,-0.04065343511450382,-0.02660916030534351,0.030432824427480916
0.068,1.0,9.129374809160305,-2.463508396946565,3.5288687022900764,-0.040655725190839695,-0.02661526717557252,0.030421374045801527
0.069,1.0,9.129484732824428,-2.463471755725191,3.528796183206107,-0.04065801526717557,-0.026621374045801525,0.030409923664122138
0.07,1.0,9.12959465648855,-2.4634351145038167,3.5287236641221376,-0.04066030534351145,-0.026627480916030535,0.03039847328244275
0.07100000000000001,1.0,9.129704580152673,-2.4633984732824428,3.528651145038168,-0.04066259541984733,-0.02663358778625954,0.03038702290076336
0.07200000000000001,1.0,9.129814503816794,-2.463361832061069,3.5285786259541987,-0.04066488549618321,-0.02663969465648855,0.03037557251908397
0.073,1.0,9.129924427480915,-2.4633251908396945,3.5285061068702293,-0.04066717557251909,-0.026645801526717555,0.03036412213740458
0.074,1.0,9.130034351145039,-2.4632885496183206,3.52843358778626,-0.040669465648854965,-0.026651908396946564,0.030352671755725192
0.075,1.0,9.13014427480916,-2.4632519083969466,3.52836106870229,-0.04067175572519084,-0.026658015267175574,0.030341221374045803
0.076,1.0,9.130254198473283,-2.4632152671755727,3.5282885496183205,-0.04067404580152672,-0.02666412213740458,0.030329770992366414
0.077,1.0,9.130364122137404,-2.4631786259541983,3.528216030534351,-0.040676335877862596,-0.02667022900763359,0.030318320610687025
0.078,1.0,9.130474045801527,-2.4631419847328244,3.5281435114503816,-0.04067862595419847,-0.026676335877862594,0.030306870229007635
0.079,1.0,9.130583969465649,-2.4631053435114505,3.528070992366412,-0.04068091603053435,-0.026682442748091603,0.030295419847328246
0.08,1.0,9.130693893129772,-2.463068702290076,3.5279984732824428,-0.040683206106870234,-0.02668854961832061,0.030283969465648857
0.081,1.0,9.130803816793893,-2.463032061068702,3.5279259541984733,-0.04068549618320611,-0.026694656488549618,0.030272519083969468
0.082,1.0,9.130913740458016,-2.4629954198473283,3.527853435114504,-0.04068778625954199,-0.026700763358778624,0.03026106870229008
0.083,1.0,9.131023664122138,-2.4629587786259544,3.5277809160305345,-0.040690076335877866,-0.026706870229007633,0.03024961832061069
0.084,1.0,9.131133587786259,-2.46292213740458,3.527708396946565,-0.04069236641221374,-0.026712977099236642,0.0302381679389313
0.085,1.0,9.131243511450382,-2.462885496183206,3.5276358778625956,-0.04069465648854962,-0.026719083969465648,0.03022671755725191
0.08600000000000001,1.0,9.131353435114503,-2.462848854961832,3.527563358778626,-0.0406969465648855,-0.026725190839694657,0.030215267175572522
0.08700000000000001,1.0,9.131463358778626,-2.462812213740458,3.5274908396946567,-0.040699236641221374,-0.026731297709923663,0.030203816793893133
0.088,1.0,9.131573282442748,-2.462775572519084,3.5274183206106873,-0.04070152671755725,-0.026737404580152672,0.03019236641221374
0.089,1.0,9.131683206106871,-2.46273893129771,3.527345801526718,-0.04070381679389313,-0.026743511450381677,0.03018091603053435
0.09,1.0,9.131793129770992,-2.462702290076336,3.5272732824427484,-0.04070610687022901,-0.026749618320610687,0.030169465648854962
0.091,1.0,9.131903053435115,-2.4626656488549616,3.5272007633587785,-0.04070839694656489,-0.026755725190839692,0.030158015267175573
0.092,1.0,9.132012977099237,-2.4626290076335877,3.527128244274809,-0.04071068702290077,-0.0267618320610687,0.030146564885496184
0.093,1.0,9.13212290076336,-2.462592366412214,3.5270557251908397,-0.040712977099236644,-0.02676793893129771,0.030135114503816795
0.094,1.0,9.132232824427481,-2.4625557251908394,3.52698320610687,-0.04071526717557252,-0.026774045801526716,0.030123664122137406
0.095,1.0,9.132342748091604,-2.4625190839694655,3.526910687022901,-0.0407175572519084,-0.026780152671755725,0.030112213740458017
0.096,1.0,9.132452671755726,-2.4624824427480916,3.5268381679389313,-0.040719847328244275,-0.02678625954198473,0.030100763358778627
0.097,1.0,9.132562595419847,-2.4624458015267177,3.526765648854962,-0.04072213740458015,-0.02679236641221374,0.03008931297709924
0.098,1.0,9.13267251908397,-2.4624091603053433,3.5266931297709925,-0.04072442748091603,-0.026798473282442746,0.03007786259541985
0.099,1.0,9.132782442748091,-2.4623725190839694,3.526620610687023,-0.040726717557251914,-0.026804580152671755,0.03006641221374046
0.1,1.0,9.132892366412214,-2.4623358778625954,3.5265480916030536,-0.04072900763358779,-0.02681068702290076,0.03005496183206107
0.101,1.0,9.133002290076336,-2.462299236641221,3.526475572519084,-0.04073129770992367,-0.02681679389312977,0.030043511450381682
0.10200000000000001,1.0,9.133112213740459,-2.462262595419847,3.5264030534351147,-0.040733587786259545,-0.02682290076335878,0.030032061068702293
0.10300000000000001,1.0,9.13322213740458,-2.4622259541984732,3.5263305343511453,-0.04073587786259542,-0.026829007633587785,0.030020610687022904
0.10400000000000001,1.0,9.133332061068703,-2.4621893129770993,3.526258015267176,-0.0407381679389313,-0.026835114503816794,0.030009160305343514
0.105,1.0,9.133441984732825,-2.462152671755725,3.5261854961832064,-0.04074045801526718,-0.0268412213740458,0.029997709923664125
0.106,1.0,9.133551908396948,-2.462116030534351,3.526112977099237,-0.040742748091603054,-0.02684732824427481,0.029986259541984736
0.107,1.0,9.133661832061069,-2.462079389312977,3.526040458015267,-0.04074503816793893,-0.026853435114503815,0.029974809160305347
0.108,1.0,9.13377175572519,-2.462042748091603,3.5259679389312977,-0.04074732824427481,-0.026859541984732824,0.029963358778625958
0.109,1.0,9.133881679389313,-2.462006106870229,3.5258954198473282,-0.04074961832061069,-0.02686564885496183,0.02995190839694657
0.11,1.0,9.133991603053435,-2.461969465648855,3.525822900763359,-0.04075190839694657,-0.02687175572519084,0.02994045801526718
