Timestamp (s),Sensor ID,Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (rad/s),Gyro Y (rad/s),Gyro Z (rad/s)
89.938,1,8.9256,-3.5961,-3.5626, -0.0881,0.0103,-0.0486
90.003,1,8.9208,-3.5961,-3.5386, -0.0891,0.0139,-0.0573
90.068,1,8.9399,-3.5434,-3.5482, -0.0890,0.0136,-0.0842
90.134,1,8.9735,-3.4955,-3.5243, -0.0886,0.0149,-0.0955
90.199,1,9.0214,-3.4141,-3.5099, -0.0923,0.0008,-0.1026
90.265,1,9.0597,-3.3232,-3.5195, -0.1082,-0.0041,-0.0977
90.331,1,9.0740,-3.2561,-3.5195, -0.1132,-0.0101,-0.0533
90.398,1,9.0884,-3.2609,-3.5051, -0.1191,-0.0346,-0.0196
90.464,1,9.1075,-3.2801,-3.5003, -0.1335,-0.1239,0.0277
90.529,1,9.1123,-3.3040,-3.5674, -0.1819,-0.2856,0.0801
90.595,1,8.9208,-3.3615,-3.8020, -0.3034,-0.4561,0.0512
90.660,1,8.7340,-3.1795,-4.3910, -0.3917,-0.5060,-0.0353
90.727,1,8.5617,-3.0742,-4.6926, -0.3004,-0.5345,-0.0584
90.793,1,8.3270,-3.0694,-5.0613, -0.2730,-0.4411,-0.0917
90.860,1,8.2265,-2.8587,-5.2672, -0.2769,-0.2859,-0.0221
90.926,1,8.2025,-2.6911,-5.3965, -0.2425,-0.1660,0.0382
90.992,1,8.3079,-2.5666,-5.4348, -0.1584,-0.1495,0.1243
91.057,1,8.1786,-2.8635,-5.5115, -0.0733,-0.2104,0.1525
91.122,1,7.9775,-3.0119,-5.6216, -0.0790,-0.2305,0.1250
91.188,1,7.8673,-3.0263,-5.7988, -0.1059,-0.1908,0.1272
91.253,1,7.7907,-3.0837,-5.8754, -0.1054,-0.1436,0.1236
91.319,1,7.6614,-3.2274,-5.9424, -0.1251,-0.0823,0.0849
91.384,1,7.6567,-3.1987,-5.9664, -0.1763,0.0101,0.0517
91.448,1,7.6950,-3.1268,-5.9664, -0.2184,0.0713,0.0216
91.513,1,7.7093,-3.1412,-5.9616, -0.2583,0.1168,-0.0032
91.578,1,7.7285,-3.0933,-5.9759, -0.3421,0.1919,-0.0019
91.644,1,7.7381,-3.1268,-5.9999, -0.5288,0.3038,0.1042
91.708,1,7.7524,-3.1412,-5.9041, -0.8386,0.4486,0.3920
91.772,1,7.9871,-3.2082,-5.7221, -1.1474,0.6071,0.8022
91.837,1,8.2839,-3.7781,-5.6743, -1.1273,0.6832,1.0639
91.901,1,7.0916,-4.7645,-5.8323, 0.1222,0.3572,0.4088
91.964,1,8.2504,-3.1843,-4.8363, 0.2060,0.3364,0.1909
92.027,1,8.4180,-3.0694,-4.4053, 0.2246,0.1087,0.2382
92.091,1,8.5808,-3.4668,-4.3144, 0.4682,-0.0869,-0.0550
92.156,1,8.8107,-2.8491,-4.0606, 0.4911,-0.1516,-0.1128
92.222,1,8.2504,-2.8730,-4.4628, 0.3993,-0.1685,-0.1535
92.287,1,8.2600,-2.3942,-5.0230, -0.0649,0.0326,-0.3846
92.352,1,8.8490,-3.7493,-4.9368, -0.0128,0.5261,-0.5017
92.418,1,9.2033,-3.1412,-4.0127, 0.0280,0.5958,-0.3364
92.482,1,9.1746,-3.1029,-3.7014, 0.0023,0.2822,-0.0320
92.546,1,8.9447,-3.3950,-3.6583, -0.0184,0.1415,0.0388
