Timestamp (s),Sensor ID,Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (rad/s),Gyro Y (rad/s),Gyro Z (rad/s)
45.882,1,8.8107,-4.0989,3.0358, -0.0813,-0.0160,-0.0450
45.947,1,8.8538,-4.0893,2.9975, -0.0854,-0.0076,-0.0012
46.012,1,8.8346,-4.1084,3.0023, -0.0799,0.0168,0.0440
46.076,1,8.7628,-4.2186,3.0406, -0.0737,0.0230,0.0453
46.139,1,8.7771,-4.1755,3.0742, -0.0657,0.0092,0.0408
46.202,1,8.7771,-4.1276,3.1316, -0.0846,-0.0152,0.0687
46.267,1,8.7388,-4.2904,3.0502, -0.1022,-0.0313,0.1039
46.331,1,8.7149,-4.3191,3.0167, -0.0905,-0.0140,0.0602
46.395,1,8.7771,-4.2713,3.0023, -0.0883,0.0044,0.1098
46.458,1,8.7149,-4.3862,3.0119, -0.0866,0.0240,0.1545
46.522,1,8.6431,-4.6017,2.9880, -0.0750,0.0648,0.1475
46.585,1,8.7293,-4.5538,3.0119, -0.0368,0.1962,0.1545
46.648,1,8.6239,-4.7309,3.3854, -0.0654,0.3071,0.1725
46.712,1,8.5760,-4.4245,4.4341, -0.4596,0.3523,-0.0604
46.776,1,8.1211,-4.2617,4.7118, -0.6544,0.0898,-0.2192
46.840,1,8.0876,-3.5865,4.3383, -0.2701,-0.1022,-0.3608
46.906,1,8.1499,-4.2713,3.4429, -0.5986,0.3273,-0.5155
46.970,1,8.4851,-4.3479,3.4046, -0.9302,0.5241,-0.5705
47.034,1,8.7053,-4.1707,3.1220, -0.9300,0.4203,-0.4911
47.099,1,8.5808,-4.3527,2.0446, -0.5504,0.2093,-0.2690
47.163,1,7.5800,-5.1858,0.8811, -0.3212,0.4449,0.1643
47.226,1,9.3901,-4.3144,3.4620, -0.0870,-0.3158,0.0139
47.291,1,9.2273,-4.3048,2.9353, -0.1685,-0.2625,0.3385
47.355,1,8.4851,-4.9656,2.9066, -0.1613,-0.1484,0.4134
47.419,1,8.4994,-4.9416,2.8204, -0.1348,-0.1178,0.1984
47.484,1,8.5329,-4.8985,2.7916, -0.1210,-0.0837,0.1771
47.548,1,8.4515,-5.0422,2.7438, -0.1073,-0.0478,0.1422
47.612,1,8.3797,-5.1523,2.7438, -0.0897,-0.0176,0.0500
47.677,1,8.4659,-4.9991,2.7581, -0.0850,-0.0013,0.0024
47.741,1,8.4372,-5.0182,2.7677, -0.0886,0.0076,-0.0007
