Timestamp (s),Sensor ID,Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (rad/s),Gyro Y (rad/s),Gyro Z (rad/s)
61.582,1,7.9727,-4.1611,-4.2042, -0.0183,-0.4326,0.0354
61.713,1,9.7683,-4.5442,-0.5842, 0.1672,-0.1789,-0.0408
61.842,1,8.1068,-4.9512,-2.0351, 0.4414,0.7440,0.0994
61.968,1,6.2297,-4.4245,-7.1012, 0.5143,0.4731,0.5864
62.095,1,5.6934,-4.1611,-5.1858, 0.0648,-0.2915,0.0496
62.225,1,7.5657,-4.8794,-3.2561, -0.4730,-0.2860,-0.3464
62.358,1,7.9104,-4.3335,-3.7445, -0.1330,-0.1041,-0.0661
62.490,1,7.7812,-4.2521,-3.6536, -0.0296,-0.0566,0.0951
62.620,1,7.5896,-4.5442,-3.6727, 0.0143,-0.0640,0.2342
62.750,1,7.3789,-4.7405,-3.6296, -0.0723,-0.0051,-0.0285
62.882,1,7.8673,-4.1324,-3.7206, -0.1160,-0.0112,-0.1371
63.015,1,7.7764,-4.4101,-3.5674, -0.0850,-0.1896,0.1470
63.407,1,9.5816,-7.1060,-6.0861, -0.5662,-2.1264,-0.1001
63.539,1,6.1770,-7.3406,-1.5083, 0.6059,2.3879,-1.4158
63.796,1,5.1236,-3.7493,-8.2935, 0.0500,1.3197,0.8212
63.924,1,5.3822,-3.5291,-6.8331, -0.4594,0.3070,0.2270
64.188,1,7.6710,-4.9416,-3.6488, -0.2899,-0.1210,-0.2090
